PubID,Name,Company_Name,Address,City,State,Zip,Telephone,Fax,Comments,SSMA_TimeStamp
1,SAMS,SAMS,11711 N. College Ave., Ste 140,Carmel,IN,46032,,,,System.Byte[]
2,PRENTICE HALL,PRENTICE HALL,15 Columbus Cir.,New York,NY,10023,800-922-0579,,,System.Byte[]
3,M & T,M & T BOOKS,,,,,,,,System.Byte[]
4,MIT,MIT PR,,,,,,,,System.Byte[]
5,MACMILLAN COMPUTER,MACMILLAN COMPUTER PUB,11 W. 42nd St., 3rd flr.,New York,NY,10036,212-869-7440,,,System.Byte[]
6,HIGHTEXT PUBNS,HIGHTEXT PUBNS,,,,,,,,System.Byte[]
7,SPRINGER VERLAG,SPRINGER VERLAG,,,,,,,,System.Byte[]
8,O'REILLY & ASSOC,O'REILLY & ASSOC,90 Sherman St.,Cambridge,MA,02140,,,,System.Byte[]
9,ADDISON-WESLEY,ADDISON-WESLEY PUB CO,Rte 128,Reading,MA,01867,617-944-3700,617-964-9460,,System.Byte[]
10,JOHN WILEY & SONS,JOHN WILEY & SONS,605 Third Ave,New York,NY,10158,212-850-6000,212-850-6088 ,DATABASES MICROCOMPUTER SOFTWARE PAPERBACK BOOKS - TRADE TEXTBOOKS - COLLEGE DICTIONARIES, ENCYCLOPEDIAS PERIODICALS 
PROFESSIONAL BOOKS 
SCIENCE (GENERAL) 
BUSINESS 
SOCIAL SCIENCES AND SOCIOLOGY 
COMPUTER SCIENCE, DATA PROCESSING 
ENGINEERING (GENERAL),System.Byte[]
11,SINGULAR,SINGULAR PUB GROUP,,,,,,,,System.Byte[]
12,Duke Press,Duke Press,,,,,,,,System.Byte[]
13,Oxford University,Oxford University Press,,,,,,,,System.Byte[]
14,Mit Press,Mit Press,,,,,,,,System.Byte[]
15,CAMBRIDGE UNIV,CAMBRIDGE UNIV PR,,,,,,,,System.Byte[]
16,Q E D,Q E D PUB CO,,,,,,,,System.Byte[]
17,Cambridge University,Cambridge University Press,,,,,,,,System.Byte[]
18,WORLD SCIENTIFIC,WORLD SCIENTIFIC PUB CO,,,,,,,,System.Byte[]
19,IDG,IDG BOOKS WORLDWIDE,,,,,,,,System.Byte[]
20,GOWER PUB,GOWER PUB CO,,,,,,,,System.Byte[]
21,John Wiley,John Wiley,605 Third Ave,New York,NY,10158,212-850-6000,212-850-6088 ,DATABASES MICROCOMPUTER SOFTWARE PAPERBACK BOOKS - TRADE TEXTBOOKS - COLLEGE DICTIONARIES, ENCYCLOPEDIAS PERIODICALS 
PROFESSIONAL BOOKS 
SCIENCE (GENERAL) 
BUSINESS 
SOCIAL SCIENCES AND SOCIOLOGY 
COMPUTER SCIENCE, DATA PROCESSING 
ENGINEERING (GENERAL),System.Byte[]
22,MCGRAW HILL TEXT,MCGRAW HILL TEXT,,,,,,,,System.Byte[]
23,ZIFF DAVIS,ZIFF DAVIS,,,,,,,,System.Byte[]
24,ORACLE PR,ORACLE PR,,,,,,,,System.Byte[]
25,CORIOLIS GROUP,CORIOLIS GROUP,,,,,,,,System.Byte[]
26,Prentice-Hall,Prentice-Hall,,,,,,,,System.Byte[]
27,South-Western Educational,South-Western Educational,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
28,INTL THOMSON COMPUTER PR(SHRT DISC),INTL THOMSON COMPUTER PR(SHRT DISC),,,,,,,,System.Byte[]
29,PRENTICE HALL,PRENTICE HALL COMPUTER BOOKS,15 Columbus Cir.,New York,NY,10023,800-922-0579,,,System.Byte[]
30,MARCEL DEKKER,MARCEL DEKKER,,,,,,,,System.Byte[]
31,DUKE COMMUNICATIONS,DUKE COMMUNICATIONS,,,,,,,,System.Byte[]
32,INST OF ELECTRICAL &,INST OF ELECTRICAL &,,,,,,,,System.Byte[]
33,Ziegler, Jurgen,Ziegler, Jurgen,,,,,,,,System.Byte[]
34,McGraw-Hill,McGraw-Hill,1221 Ave of the Americas,New York,NY,10020,800-822-8138,,,System.Byte[]
35,Kluwer Academic,Kluwer Academic,,,,,,,,System.Byte[]
36,West,West Pub Co,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
37,Kluwer,Kluwer,,,,,,,,System.Byte[]
38,Boyd & Fraser,Boyd & Fraser Pub Co,20 Park Place., Suite 1405,Boston,MA,02116,617-426-2292,,,System.Byte[]
39,NEAL SCHUMAN,NEAL SCHUMAN PUB,,,,,,,,System.Byte[]
40,MICROSOFT,MICROSOFT PR,,,,,,,,System.Byte[]
41,OXFORD UNIV,OXFORD UNIV PR,,,,,,,,System.Byte[]
42,WROX,WROX PR INC,,,,,,,,System.Byte[]
43,WAITE GROUP,WAITE GROUP PR,,,,,,,,System.Byte[]
44,AP PROFESSIONAL,AP PROFESSIONAL,,,,,,,,System.Byte[]
45,QUE CORP,QUE CORP,11711 N College Ave, Suite 140,Carmel,IN,46032,,,,System.Byte[]
46,WADSWORTH,WADSWORTH PUB CO,10 Davis Dr.,Belmont,CA,94002,,,,System.Byte[]
47,Irwin,Irwin,4 Gentry St.,Baldwinsville,NY,13027,315-638-0175,,,System.Byte[]
48,KLUWER ACADEMIC,KLUWER ACADEMIC PUB,,,,,,,,System.Byte[]
49,Addison-Wesley,Addison-Wesley,Rte 128,Reading,MA,01867,617-944-3700,617-964-9460,,System.Byte[]
50,Starbuck, Orca,Starbuck, Orca,,,,,,,,System.Byte[]
51,Blacklock, P.,Blacklock, P.  Computer Programming (Edt),,,,,,,,System.Byte[]
52,Waite Group,Waite Group Press,100 Shoreline Hwy., Suite A285,Mill Valley,CA,94941,415-331-0575,415-331-1075,,System.Byte[]
53,Kluwer Academic,Kluwer Academic Publishers,,,,,,,,System.Byte[]
54,West,West Pub,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
55,BLACKWELL PUB,BLACKWELL PUB,3 Cambridge Ctr., Suite 208,Cambridge,MA ,02142,617-225-0401,,,System.Byte[]
56,MCCLELLAND & STEWART,MCCLELLAND & STEWART,,,,,,,,System.Byte[]
57,HAYDEN,HAYDEN BOOKS,11711 N. College Ave., Ste 140,Carmel,IN,46032,317-573-2500,,,System.Byte[]
58,BRADFORD,BRADFORD BOOKS,,,,,,,,System.Byte[]
59,RAND,RAND CORP,,,,,,,,System.Byte[]
60,GOODHEART-WILLCOX,GOODHEART-WILLCOX CO,,,,,,,,System.Byte[]
61,SIGS,SIGS PUBNS,,,,,,,,System.Byte[]
62,IEEE COMPUTER SOCIETY,IEEE COMPUTER SOCIETY,10662 Los Vaqueros Circle,Los Alamitos,CA,90720,800-272-6657,714-821-4010,PROFESSIONAL BOOKS ASSOCIATION PRESSES SCHOLARLY BOOKS SUBSCRIPTION AND MAIL ORDER BOOKS VIDEO CASSETTES TEXTBOOKS - COLLEGE VIDEO CASSETTES 
COMPUTER SCIENCE, DATA PROCESSING 
ELECTRONICS, ELECTRICAL ENGINEERING 
INDUSTRIAL, TECHNOLOGY 
ENGINEERING (GENERAL),System.Byte[]
63,MCGRAW HILL,MCGRAW HILL,,,,,,,,System.Byte[]
64,Sigs,Sigs Books,,,,,,,,System.Byte[]
65,Prentice Hall,Prentice Hall Ptr,15 Columbus Cir.,New York,NY,10023,800-922-0579,,,System.Byte[]
66,Elsevier,Elsevier,,,,,,,,System.Byte[]
67,Wordware,Wordware Publishing,1506 Capital Ave., Suite 101,Plano,TX,75074,,,,System.Byte[]
68,TAB BOOKS,TAB BOOKS,P.O. Box 40,Blue Ridge Summit,PA,17294-0850,800-822-8138,717-794-2080,,System.Byte[]
69,JAI,JAI PR,,,,,,,,System.Byte[]
70,CHARLES RIVER MEDIA,CHARLES RIVER MEDIA,,,,,,,,System.Byte[]
71,VAN NOSTRAND REINHOLD,VAN NOSTRAND REINHOLD,,,,,,,,System.Byte[]
72,R & D,R & D PUBNS,,,,,,,,System.Byte[]
73,EUROPEAN COMMUNITIES,EUROPEAN COMMUNITIES,,,,,,,,System.Byte[]
74,VENTANA,VENTANA PR,P.O. Box 2468,Chapel Hill,NC,27515,,,,System.Byte[]
75,ASSN FOR CHILDHOOD EDUCATION INTL,ASSN FOR CHILDHOOD EDUCATION INTL,,,,,,,,System.Byte[]
76,KOMENDA,KOMENDA PUB CO,,,,,,,,System.Byte[]
77,Springer,Springer,,,,,,,,System.Byte[]
78,JONES & BARTLETT,JONES & BARTLETT PUB,,,,,,,,System.Byte[]
79,OSBORNE MCGRAW-HILL,OSBORNE MCGRAW-HILL,1221 Ave of the Americas,New York,NY,10020,800-822-8138,,,System.Byte[]
80,METAMORPHOUS,METAMORPHOUS PR,,,,,,,,System.Byte[]
81,Springer-Verlag,Springer-Verlag,,,,,,,,System.Byte[]
82,CLARENDON,CLARENDON PR,,,,,,,,System.Byte[]
83,FRANKLIN BEEDLE & ASSOC,FRANKLIN BEEDLE & ASSOC,,,,,,,,System.Byte[]
84,PWS,PWS PUB CO,,,,,,,,System.Byte[]
85,Ncc Blackwell,Ncc Blackwell,3 Cambridge Ctr., Suite 208,Cambridge,MA ,02142,617-225-0401,,,System.Byte[]
86,SCIENCE,SCIENCE PR,,,,,,,,System.Byte[]
87,I B D,I B D LTD,,,,,,,,System.Byte[]
88,RANDOM HOUSE,RANDOM HOUSE ELECTRONIC PUB,,,,,,,,System.Byte[]
89,SYBEX,SYBEX,2021 Challenger Dr,Alameda,CA,94501,800-227-2346,415-523-2373,PAPERBACK BOOKS - TRADE DIRECTORIES, REFERENCE BOOKS MICROCOMPUTERS COMPUTER SCIENCE, DATA PROCESSING,System.Byte[]
90,BUTTERWORTH-HEINEMANN,BUTTERWORTH-HEINEMANN,,,,,,,,System.Byte[]
91,PUB GROUP WEST,PUB GROUP WEST (COMPUTER BKS),P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
92,UCL PR LTD,UCL PR LTD,,,,,,,,System.Byte[]
93,CBM,CBM BOOKS,,,,,,,,System.Byte[]
94,MANNING,MANNING PUBNS CO,,,,,,,,System.Byte[]
95,JAMSA,JAMSA PR,,,,,,,,System.Byte[]
96,INSPEC/IEE,INSPEC/IEE,,,,,,,,System.Byte[]
97,ABACUS,ABACUS SOFTWARE,,,,,,,,System.Byte[]
98,WESTVIEW,WESTVIEW PR,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
99,ACADEMIC,ACADEMIC PR,,,,,,,,System.Byte[]
100,RICHARD D IRWIN,RICHARD D IRWIN,4 Gentry St.,Baldwinsville,NY,13027,315-638-0175,,,System.Byte[]
101,DORSET HOUSE,DORSET HOUSE,,,,,,,,System.Byte[]
102,ABLEX,ABLEX PUB CORP,,,,,,,,System.Byte[]
103,PAUL H BROOKES,PAUL H BROOKES PUB CO,,,,,,,,System.Byte[]
104,CHAPMAN & HALL,CHAPMAN & HALL,29 W. 35th St.,New York,NY,10001-2291,212-244-3336,,,System.Byte[]
105,DELMAR,DELMAR PUB,,,,,,,,System.Byte[]
106,Athena Sci,Athena Sci,,,,,,,,System.Byte[]
107,MORGAN KAUFMANN,MORGAN KAUFMANN PUB,2929 Campus Dr, Suite 260,San Mateo,CA,94403,415-578-9911,415-578-0672 ,Professional & reference books in computer science & related areas. PROFESSIONAL BOOKS TEXTBOOKS - COLLEGE VIDEO CASSETTES COMPUTER SCIENCE, DATA PROCESSING,System.Byte[]
108,UNIVERSAL,UNIVERSAL PUB CO,,,,,,,,System.Byte[]
109,ARTECH,ARTECH HOUSE,,,,,,,,System.Byte[]
110,W H FREEMAN,W H FREEMAN & CO,,,,,,,,System.Byte[]
111,WORDWARE,WORDWARE,1506 Capital Ave., Suite 101,Plano,TX,75074,,,,System.Byte[]
112,WALTER DE GRUYTER,WALTER DE GRUYTER,,,,,,,,System.Byte[]
113,VENTURE,VENTURE PUB,,,,,,,,System.Byte[]
114,AMER LIBRARY ASSN EDITIONS,AMER LIBRARY ASSN EDITIONS,,,,,,,,System.Byte[]
115,PRIMA PUB,PRIMA PUB,P.O. Box 1260,Rocklin,CA,95677-1260,,,,System.Byte[]
116,AA BALKEMA,AA BALKEMA,,,,,,,,System.Byte[]
117,Prentice Hall,Prentice Hall International,Rte. 9W,Englewood Cliffs,NJ,07632,201-592-2000,,,System.Byte[]
118,PEACHPIT,PEACHPIT PR,,,,,,,,System.Byte[]
119,DELLEN,DELLEN PUB CO,,,,,,,,System.Byte[]
120,VAN NOSTRAND REINHOLD,VAN NOSTRAND REINHOLD (SHORT DISC),,,,,,,,System.Byte[]
121,MITCHELL,MITCHELL PUB,55 Penny Ln., No. 103,Watsonville,CA,95076,408-724-0195,,,System.Byte[]
122,DIGITAL,DIGITAL PR,,,,,,,,System.Byte[]
123,KENDALL HUNT,KENDALL HUNT PUB,,,,,,,,System.Byte[]
124,AKADEMIAI KIADO,AKADEMIAI KIADO,,,,,,,,System.Byte[]
125,Manning,Manning,,,,,,,,System.Byte[]
126,ELSEVIER SCIENCE,ELSEVIER SCIENCE,,,,,,,,System.Byte[]
127,ONWORD,ONWORD PR,,,,,,,,System.Byte[]
128,BENJAMIN/CUMMINGS,BENJAMIN/CUMMINGS,390 Bridge Pkwy.,Redwood City,CA,94065,800-950-2665,415-594-4409,,System.Byte[]
129,ALLYN & BACON,ALLYN & BACON,,,,,,,,System.Byte[]
130,HARPERCOLLINS COLLEGE DIV,HARPERCOLLINS COLLEGE DIV,,,,,,,,System.Byte[]
131,NORTH-HOLLAND,NORTH-HOLLAND,,,,,,,,System.Byte[]
132,SAGAMORE,SAGAMORE PUB,,,,,,,,System.Byte[]
133,HUMAN KINETICS,HUMAN KINETICS PUB,,,,,,,,System.Byte[]
134,AMER MATHEMATICAL SOCIETY,AMER MATHEMATICAL SOCIETY,,,,,,,,System.Byte[]
135,RESEARCH STUDIES,RESEARCH STUDIES PR,,,,,,,,System.Byte[]
136,General Media,General Media Books,,,,,,,,System.Byte[]
137,DELFT UNIV,DELFT UNIV PR,,,,,,,,System.Byte[]
138,SOCIETY FOR INDUSTRIAL & APPLIED,SOCIETY FOR INDUSTRIAL & APPLIED,,,,,,,,System.Byte[]
139,BANTAM ELECTRONIC,BANTAM ELECTRONIC PUB,,,,,,,,System.Byte[]
140,INTL SOCIETY FOR TECHNOLOGYIN,INTL SOCIETY FOR TECHNOLOGYIN,,,,,,,,System.Byte[]
141,YOURDON,YOURDON,15 Columbus Cir.,New York,NY,10023,212-373-8500,,,System.Byte[]
142,WILLIAM MORROW & CO,WILLIAM MORROW & CO,,,,,,,,System.Byte[]
143,MIS,MIS PR,P.O. Box 5277,Portland,OR,97208-5277,503-282-5819,,,System.Byte[]
144,HARPERCOLLINS (PAPER),HARPERCOLLINS (PAPER),,,,,,,,System.Byte[]
145,MECKLERMEDIA,MECKLERMEDIA,,,,,,,,System.Byte[]
146,APOLLO COMPUTER SYSTEM,APOLLO COMPUTER SYSTEM,,,,,,,,System.Byte[]
147,HARPERCOLLINS,HARPERCOLLINS,,,,,,,,System.Byte[]
148,BIRKHAUSER,BIRKHAUSER,,,,,,,,System.Byte[]
149,PRINCETON UNIV,PRINCETON UNIV PR,,,,,,,,System.Byte[]
150,ALLERTON PR,ALLERTON PR,,,,,,,,System.Byte[]
151,WINDCREST,WINDCREST,P.O. Box 40,Blue Ridge Summit,PA,17294-0850,717-794-2191,,,System.Byte[]
152,ELEMENT,ELEMENT,,,,,,,,System.Byte[]
153,PERGAMON,PERGAMON PR,,,,,,,,System.Byte[]
154,WALNUT CREEK,WALNUT CREEK,,,,,,,,System.Byte[]
155,SOUTH-WESTERN,SOUTH-WESTERN PUB,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
156,MACMILLAN,MACMILLAN PUB CO,11 W. 42nd St., 3rd flr.,New York,NY,10036,212-869-7440,,,System.Byte[]
157,GROUP BOOKS,GROUP BOOKS,,,,,,,,System.Byte[]
158,COMPUTER TECHNOLOGY RESEARCH,COMPUTER TECHNOLOGY RESEARCH,,,,,,,,System.Byte[]
159,DICTATION DISC,DICTATION DISC CO,,,,,,,,System.Byte[]
160,WILEY-INTERSCIENCE,WILEY-INTERSCIENCE,605 Third Ave,New York,NY,10158,212-850-6000,212-850-6088 ,DATABASES MICROCOMPUTER SOFTWARE PAPERBACK BOOKS - TRADE TEXTBOOKS - COLLEGE DICTIONARIES, ENCYCLOPEDIAS PERIODICALS 
PROFESSIONAL BOOKS 
SCIENCE (GENERAL) 
BUSINESS 
SOCIAL SCIENCES AND SOCIOLOGY 
COMPUTER SCIENCE, DATA PROCESSING 
ENGINEERING (GENERAL),System.Byte[]
161,SIMON & SCHUSTER,SIMON & SCHUSTER (AUDIO),,,,,,,,System.Byte[]
162,WADSWORTH,WADSWORTH SOFTWARE,10 Davis Dr.,Belmont,CA,94002,,,,System.Byte[]
163,IRWIN PROFESSIONAL,IRWIN PROFESSIONAL PUB,4 Gentry St.,Baldwinsville,NY,13027,315-638-0175,,,System.Byte[]
164,IOWA STATE UNIV,IOWA STATE UNIV PR,State University Plaza,Albany,NY,12246-0001,,,,System.Byte[]
165,IEEE Computer Society Press,IEEE Computer Society Press,10662 Los Vaqueros Circle,Los Alamitos,CA,90720,800-272-6657,714-821-4010,PROFESSIONAL BOOKS ASSOCIATION PRESSES SCHOLARLY BOOKS SUBSCRIPTION AND MAIL ORDER BOOKS VIDEO CASSETTES TEXTBOOKS - COLLEGE VIDEO CASSETTES 
COMPUTER SCIENCE, DATA PROCESSING 
ELECTRONICS, ELECTRICAL ENGINEERING 
INDUSTRIAL, TECHNOLOGY 
ENGINEERING (GENERAL),System.Byte[]
166,MANGAEMENT INFO SERVICE,MANGAEMENT INFO SERVICE,,,,,,,,System.Byte[]
167,LAWRENCEVILLE,LAWRENCEVILLE PR,,,,,,,,System.Byte[]
168,HARPERPERENNIAL LIBRARY,HARPERPERENNIAL LIBRARY,,,,,,,,System.Byte[]
169,BROWN & BENCHMARK,BROWN & BENCHMARK PUB,,,,,,,,System.Byte[]
170,INTERPHARM,INTERPHARM PR,,,,,,,,System.Byte[]
171,DUXBURY,DUXBURY PR,,,,,,,,System.Byte[]
172,SOFTWARE MASTERS,SOFTWARE MASTERS,,,,,,,,System.Byte[]
173,NORTH AMER,NORTH AMER PUB CO,,,,,,,,System.Byte[]
174,BRADY,BRADY,,,,,,,,System.Byte[]
175,GLENCOE,GLENCOE/MACMILLAN MCGRAW HILL,15319 Chatsworth St.,Mission Hills,CA,91345,818-898-1391,,,System.Byte[]
176,HOLT RINEHART & WINSTON,HOLT RINEHART & WINSTON,,,,,,,,System.Byte[]
177,INTEL,INTEL BOOKS,,,,,,,,System.Byte[]
178,SAGE,SAGE PUBNS,,,,,,,,System.Byte[]
179,PRENTICE HALL,PRENTICE HALL COMPUTER PUB,15 Columbus Cir.,New York,NY,10023,800-922-0579,,,System.Byte[]
180,DELTA,DELTA,,,,,,,,System.Byte[]
181,RR BOWKER,RR BOWKER,,,,,,,,System.Byte[]
182,MICRO FOCUS,MICRO FOCUS PUB,,,,,,,,System.Byte[]
183,MERRIL,MERRIL PR,,,,,,,,System.Byte[]
184,FOCAL,FOCAL PR,,,,,,,,System.Byte[]
185,REAL PEOPLE,REAL PEOPLE PR,,,,,,,,System.Byte[]
186,ASSN FOR COMPUTING MACHINERY,ASSN FOR COMPUTING MACHINERY,,,,,,,,System.Byte[]
187,PETER LANG,PETER LANG PUB,,,,,,,,System.Byte[]
188,MACMILLAN COLL DIV,MACMILLAN COLL DIV,11 W. 42nd St., 3rd flr.,New York,NY,10036,212-869-7440,,,System.Byte[]
189,ALLEYSIDE PR (UPSTL),ALLEYSIDE PR (UPSTL),,,,,,,,System.Byte[]
190,PITMAN,PITMAN PUB LTD,,,,,,,,System.Byte[]
191,South-Western Educational,South-Western Educational Pub,P.O. Box 64256, 50 W. Kellogg Blvd.,St. Paul,MN,55164-0526,,,,System.Byte[]
192,ALPHA BOOKS,ALPHA BOOKS,,,,,,,,System.Byte[]
193,SCOTT/JONES,SCOTT/JONES,,,,,,,,System.Byte[]
194,COMPUTER CONFIDENCE,COMPUTER CONFIDENCE INC,,,,,,,,System.Byte[]
195,WATSON-GUPTILL,WATSON-GUPTILL PUBNS,,,,,,,,System.Byte[]
196,NEW RIDERS,NEW RIDERS PUB,P.O. Box 90, 11711 N. College Ave.,Carmel,IN,46032,,,,System.Byte[]
197,FAWCETT,FAWCETT TECHNICAL PUB,,,,,,,,System.Byte[]
198,E T N,E T N CORP,,,,,,,,System.Byte[]
199,SIGMA,SIGMA PR,,,,,,,,System.Byte[]
200,AMER ACADEMY OF OPHTHALMOLOGY,AMER ACADEMY OF OPHTHALMOLOGY,,,,,,,,System.Byte[]
201,BANTAM DOUBLEDAY DELL,BANTAM DOUBLEDAY DELL PUB,,,,,,,,System.Byte[]
202,VAN NOSTRAND REINHOLD,VAN NOSTRAND REINHOLD (TRADE),,,,,,,,System.Byte[]
203,NORTH LIGHT,NORTH LIGHT BOOKS,,,,,,,,System.Byte[]
204,WILLIAM C BROWN,WILLIAM C BROWN PUB,,,,,,,,System.Byte[]
205,LEA & FEBIGER,LEA & FEBIGER,,,,,,,,System.Byte[]
206,LAWRENCE ERLBAUM,LAWRENCE ERLBAUM ASSOC,,,,,,,,System.Byte[]
207,SCARECROW,SCARECROW PR,,,,,,,,System.Byte[]
208,S KARGER,S KARGER PUB,,,,,,,,System.Byte[]
209,SIMON & SCHUSTER,SIMON & SCHUSTER,,,,,,,,System.Byte[]
210,AMER PRODUCTION & INVENTORY,AMER PRODUCTION & INVENTORY,,,,,,,,System.Byte[]
211,UNIV OF WASHINGTON,UNIV OF WASHINGTON PR,,,,,,,,System.Byte[]
212,HEINEMANN,HEINEMANN,,,,,,,,System.Byte[]
213,STERLING SWIFT,STERLING SWIFT PUB CO,,,,,,,,System.Byte[]
214,ABC-CLIO,ABC-CLIO,,,,,,,,System.Byte[]
215,CHARLES C THOMAS,CHARLES C THOMAS PUB,,,,,,,,System.Byte[]
216,MOONBEAM PUBLICATIONS,MOONBEAM PUBLICATIONS, INC.,,,,,,,,System.Byte[]
217,PENGUIN,PENGUIN USA (PAPER),,,,,,,,System.Byte[]
218,st Martins Press,st Martins Press,,,,,,,,System.Byte[]
219,SPECIAL LIBRARIE,SPECIAL LIBRARIES ASSN,,,,,,,,System.Byte[]
220,K G SAUR,K G SAUR,,,,,,,,System.Byte[]
221,NTC,NTC PUB GROUP,,,,,,,,System.Byte[]
222,PINNACLE,PINNACLE PUB,,,,,,,,System.Byte[]
223,PRENTICE HALL,PRENTICE HALL TRADE,15 Columbus Cir.,New York,NY,10023,800-922-0579,,,System.Byte[]
224,GALLOPADE PUB GROUP,GALLOPADE PUB GROUP,,,,,,,,System.Byte[]
225,SINAUER ASSOC,SINAUER ASSOC,,,,,,,,System.Byte[]
226,PROBUS PUB CO,PROBUS PUB CO,,,,,,,,System.Byte[]
227,INFORMATION TODAY,INFORMATION TODAY INC,,,,,,,,System.Byte[]
228,TRANS-ATLANTIC,TRANS-ATLANTIC PUBNS,,,,,,,,System.Byte[]
229,Ablex Pub,Ablex Pub,,,,,,,,System.Byte[]
230,THOMSON EXECUTIVE,THOMSON EXECUTIVE PR (SHORT DISC),,,,,,,,System.Byte[]
231,COMPUTATIONAL MECHANICS,COMPUTATIONAL MECHANICS,,,,,,,,System.Byte[]
232,ORYX,ORYX PR,,,,,,,,System.Byte[]
